version,cluster_id,cluster_label,num_reviews,avg_score
43.12,0,"able hear meeting, able hear meeting joining, able increased application, audio does work, audio does work sound",5,1.8
43.12,1,"audio easy use, audio video aspects great, audio video meet technical, good audio video, video audio quality",11,4.636363636363637
43.12,2,"adopt app december, adopt app december 2023, app computer better, app december 2023, app user friendly",13,4.461538461538462
43.11,0,"app connecting important, app connecting important meeting, app meetings audio, good application online, great app meetings",16,4.8125
43.11,1,"convenient easy use, doesnt features needed, doesnt features needed okay, easy great use, easy use doesnt",9,4.666666666666667
43.11,2,"audio video clear, clear audio video, clear easy use, easy use clear, good audio video",47,4.1063829787234045
43.11,3,"app easier setup, app easier setup navigate, app easy use, app enjoyed using, time using app",8,4.875
43.9,0,"audio video quality, good audio video, quality audio video, time using app, video quality good",325,4.058461538461539
43.9,1,"1st experience great, awesome experience video, awesome experience video audio, experience video audio, experience video audio plus",5,4.6
43.7,0,"app easy use, clear audio video, time using app, voice clarity poor, web meeting app",111,4.423423423423423
43.7,1,"awesome easy use, clear easy use, clear effective really, clear effective really enjoyed, clear nice enjoyed",19,4.894736842105263
43.6,0,"app does needs, app easy understand, app easy understand user, app easy use great, easy use great",13,4.615384615384615
43.6,1,"account meetings physically, account meetings physically present, actively attending meeting, ahead time took, great meeting tool",21,4.428571428571429
43.6,2,"able seen hear, able seen hear heard, audio fantastic nice thumb, quality audio video, quality video audio",25,4.28
43.6,3,"clear easy navigate, clear easy use, clear user friendly, great clear easy, great clear easy use",7,4.857142857142857
43.5,1,"app easy glitches hassle, app easy use, good quality audio, good quality audio video, quality audio video",20,4.9
43.4,0,"audio audio choppy, audio clear begening, audio fine noticed, audio video quality, good audio video",25,4.12
43.4,1,"app easy install easy, app easy use, easy use good, good app easy, good app easy use",19,4.947368421052632
43.4,2,"app group chats, app make meeting, app meeting limited, good app meeting, meetings online classes",20,4.7
43.3,0,"able hear audio, audio functioning properly, audio quality poor, audio sound low, bad able hear",7,2.142857142857143
43.3,1,"audio quality good, easy use quality, excellent video audio, video audio quality, video sound quality",10,4.9
43.3,2,"1st time experience, 1st time ve, app easy understand, easy download use, time using app",23,4.695652173913044
43.2,0,"app doesn overheat, app doesn overheat phone, app easy use, app internet connection reliable, time using app",20,4.65
43.2,1,"app cases user, app cases user friendly, app everytime need, app official meetings, app running better",7,4.571428571428571
43.1,0,"audio bit tinny, audio good maybe, clear easy use, good video audio, video audio good",36,4.388888888888889
43.1,1,"app good better, app good better zoom, app zoom way, app zoom way better, good better zoom",5,2.6
43.1,2,"easy download use, easy use great, easy use time, easy use time simple, excellent easy use",6,5.0
43.1,3,"amazing app meeting, app awesome meeting, app awesome meeting went, app creates best, app creates best platform",9,4.777777777777778
43.1,4,"amazing wonderful class, amazing wonderful class doing, app amazing wonderful, app amazing wonderful class, app couldn happier",11,4.818181818181818
42.12,0,"app easy use, audio video quality, good quality video, quality video sound, volume bit low",231,3.9740259740259742
42.12,1,"experience good helpful, experience good helpful oi, good helpful oi, nd relaxing session, nice nd relaxing",5,4.8
42.11,0,"app easy use, clear audio video, sound clear video, voice clear video, voice quality bad",283,3.8162544169611308
42.11,1,"better management uses, better zoom needed, does job clear, does job clear zoom, friendly unlike zoom",7,3.142857142857143
42.10,0,"app easy use, good app use, great app easy, great app easy use, time using app",40,4.75
42.10,1,"audio horrible video, audio horrible video choppy, audio poor issues, audio quality bad, audio video quality",13,3.6923076923076925
42.10,2,"awesome easy use, easy use does, easy use does job, easy use familiar, easy use great",14,4.928571428571429
42.9,0,"application far interactive, application far interactive user, audio quality superb, bad reception better, bad reception better zoom",12,3.25
42.9,1,"app easy use, clear audio video, easy use clear, good app online, picture good sound",139,4.525179856115108
42.9,2,"able interact host, able interact host meeting, connected problems time, connecting meetings pretty, connecting meetings pretty good",5,4.6
42.8,0,"audio video quality, easy use good, good app meeting, good app online, great easy use",185,4.448648648648649
42.8,1,"app far good, audio quality zoom, audio quality zoom better, better highly disappointed, better zoom meetings",8,3.375
42.7,0,"app easy use, audio video quality, clear audio video, clear easy use, easy use good",741,3.900134952766532
42.6,0,"easy use issues, easy use recommend, easy use way, experience easy use, experience easy use recommend",6,5.0
42.6,1,"audio poor times, audio video quality, clear easy use, clear sound video, clear video audio",49,4.122448979591836
42.6,2,"app easy use, app happy use, app time excellent, app user friendly, good app good",14,4.5
42.6,3,"amazing app conducting, amazing app conducting meetings, app business discussions, good app meeting, good app online",26,4.615384615384615
42.5,0,"able hear meeting, audio bad disruptive, audio bad disruptive participant, audio coming joined, audio coming joined meeting",6,2.8333333333333335
42.5,1,"audio quality good, audio video quality, clear audio video, quality video audio, sound quality poor",47,3.723404255319149
42.5,2,"cool easy use, easy use definitely, easy use definitely recommend, easy use great features, nice easy use",13,4.769230769230769
42.5,3,"app app awesome, app app awesome easy, app awesome easy, app awesome easy use, app exceptional good",22,4.863636363636363
42.5,4,"app easy use, app online meetings, good meeting app, work ending button, work ending button visible",30,4.633333333333334
42.4,0,"app excellent audio, app excellent audio quality, audio quality advanced, audio quality advanced features, excellent audio quality",5,5.0
42.4,1,"app good online, app online meeting, good platform meetings, meeting app easy, platform virtual meeting",36,4.555555555555555
42.4,2,"audio video quality, clear easy use, good audio video, good audio video quality, video audio quality",24,4.458333333333333
42.4,3,"easy use good, easy use great, easy use great quality, good easy use, use great quality",14,5.0
42.3,0,"app easy use, audio video quality, good app online, time using app, video clear audio",346,4.22543352601156
42.3,1,"app bad zoom, app bad zoom better, apps type zoom, attending meetings online, attending meetings online secure",8,3.625
42.2,0,"excellent session innovative, good session lot, good session lot necessary, importance acclimatization thank, information importance acclimatization",7,4.0
42.2,1,"app online classes, audio video quality, clear video audio, good video audio, video audio quality",399,4.072681704260652
42.2,2,"comes meeting join, comes meeting join irritating, comming sound joining, comming sound joining leaving, connecting destined meeting",6,1.8333333333333333
42.1,0,"audio video quality, best app online, clear audio video, oa oa oa, oa oa oa oa",2059,3.542496357455075
