Feature Description,Release Date,,,,,,,,,,,,,,,,
Firefox now displays images and descriptions for search suggestions when provided by the search engine.,1/23/2024,,,,,,,,,,,,,,,,
"The translations feature received an improvement in the quality of translated webpages. The results should be much more stable. This fixes issues where the content of a page could disappear when translated, or interactive widgets could break.",1/23/2024,,,,,,,,,,,,,,,,
Firefox now supports creating and using passkeys stored in the iCloud Keychain on macOS.,1/23/2024,,,,,,,,,,,,,,,,
MDN Web Docs article suggestions from Firefox Suggest will be available in the address bar for users searching for web development-related information.,1/23/2024,,,,,,,,,,,,,,,,
"The line breaking rules of Web content now match the Unicode Standard. This improves Web Browser compatibility for line breaking. An additional improvement for East Asian and South East Asian end users, Firefox now supports proper language-aware word selection when double-clicking on text for languages including Chinese, Japanese, Burmese, Lao, Khmer, and Thai.",1/23/2024,,,,,,,,,,,,,,,,
"Firefox now ships with a new .deb package for Linux users on Ubuntu, Debian, and Linux Mint.",1/23/2024,,,,,,,,,,,,,,,,
Firefox now prompts Windows users to install the Microsoft AV1 Video Extension to enable hardware decoding support for the AV1 video codec from about:support if not already installed.,12/19/2023,,,,,,,,,,,,,,,,
Firefox now supports Voice Control commands on macOS systems.,12/19/2023,,,,,,,,,,,,,,,,
"On Linux, Firefox now defaults to the Wayland compositor when available instead of XWayland. This brings support for touchpad & touchscreen gestures, swipe-to-nav, per-monitor DPI settings, better graphics performance, and more.",12/19/2023,,,,,,,,,,,,,,,,
Firefox can now force links to always be underlined. This option can be enabled in the Browsing section of the Firefox Settings menu.,12/19/2023,,,,,,,,,,,,,,,,
Firefox supports a new “Copy Link Without Site Tracking” feature in the context menu which ensures that copied links no longer contain tracking information.,11/21/2023,,,,,,,,,,,,,,,,
"Firefox now supports a setting (in Preferences → Privacy & Security) to enable Global Privacy Control. With this opt-in feature, Firefox informs the websites that the user doesn’t want their data to be shared or sold. This feature is enabled in private browsing mode by default.",11/21/2023,,,,,,,,,,,,,,,,
"Firefox’s private windows and ETP-Strict privacy configuration now enhance the Canvas APIs with Fingerprinting Protection, thereby continuing to protect our users’ online privacy.",11/21/2023,,,,,,,,,,,,,,,,
